SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4201 Ocean Ave,San Francisco,CA,94132,1325000,3,2.0,San Francisco,1660,3114,1950,3,798,,Active,,,http://www.redfin.com/CA/San-Francisco/4201-Ocean-Ave-94132/home/1038087,San Francisco MLS,421592472,N,Y,37.7319526,-122.4890685
MLS Listing,,Condo/Co-op,181 Fremont St Unit 58A,San Francisco,CA,94105,4900000,2,2.5,San Francisco,1926,,2018,3,2544,2935,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-58A/home/167299439,San Francisco MLS,421585534,N,Y,37.7898082,-122.3953565
MLS Listing,,Condo/Co-op,1600 Lyon St,San Francisco,CA,94115,1995000,3,3.0,San Francisco,2127,2500,1898,3,938,244,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1600-Lyon-St-94115/home/176340437,San Francisco MLS,421583389,N,Y,37.7857786,-122.4449
MLS Listing,,Condo/Co-op,2894 Bush St,San Francisco,CA,94115,2595000,4,3.0,San Francisco,2945,2500,1898,3,881,29,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2894-Bush-St-94115/home/590689,San Francisco MLS,421583387,N,Y,37.785708,-122.4448814
MLS Listing,,Single Family Residential,52 Maynard St,San Francisco,CA,94112,1275000,4,3.0,San Francisco,2064,2949,1979,3,618,,Active,,,http://www.redfin.com/CA/San-Francisco/52-Maynard-St-94112/home/1397135,San Francisco MLS,421591805,N,Y,37.7290711,-122.4294203
MLS Listing,,Condo/Co-op,1 Daniel Burnham Ct #605,San Francisco,CA,94109,799000,1,1.0,San Francisco,825,46157,1988,3,968,898,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1-Daniel-Burnham-Ct-94109/unit-605/home/1374879,San Francisco MLS,421591660,N,Y,37.7867053,-122.4224403
MLS Listing,,Condo/Co-op,2 Beaver St,San Francisco,CA,94114,1595000,3,2.0,San Francisco,1397,1249,1906,3,1142,375,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2-Beaver-St-94114/home/21622816,San Francisco MLS,421592433,N,Y,37.7651315,-122.4335638
MLS Listing,,Condo/Co-op,300 Valley St #5,San Francisco,CA,94131,1995000,2,2.0,San Francisco,2147,11103,1999,3,929,715,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/300-Valley-St-94131/unit-5/home/2009315,San Francisco MLS,421585454,N,Y,37.7445131,-122.4294049
MLS Listing,,Condo/Co-op,543 Lombard St,San Francisco,CA,94133,1800000,3,2.0,San Francisco,1550,1388,1925,3,1161,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/543-Lombard-St-94133/home/1553907,San Francisco MLS,421591588,N,Y,37.8029631,-122.4104255
MLS Listing,,Condo/Co-op,638 19th St #9,San Francisco,CA,94107,1595000,3,2.5,San Francisco,1485,14761,2007,3,1074,620,Active,September-12-2021 12:00 PM,September-12-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/638-19th-St-94107/unit-9/home/12277837,San Francisco MLS,421589809,N,Y,37.762084,-122.389011
MLS Listing,,Condo/Co-op,77 Grand View Ave #103,San Francisco,CA,94114,895000,1,1.0,San Francisco,900,13673,1977,3,994,569,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/77-Grand-View-Ave-94114/unit-103/home/673902,San Francisco MLS,421592268,N,Y,37.7568149,-122.4401709
MLS Listing,,Condo/Co-op,226 27th St #7,San Francisco,CA,94131,875000,2,1.0,San Francisco,,5700,1963,3,,399,Active,,,http://www.redfin.com/CA/San-Francisco/226-27th-St-94131/unit-7/home/176340019,San Francisco MLS,421591800,N,Y,37.747179,-122.4258216
MLS Listing,,Condo/Co-op,200 Brannan St #319,San Francisco,CA,94107,1925000,2,2.0,San Francisco,1934,72899,2004,3,995,961,Active,September-12-2021 12:00 PM,September-12-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-319/home/1569423,San Francisco MLS,421581694,N,Y,37.7838833,-122.3906104
MLS Listing,,Condo/Co-op,1 Hawthorne St Unit 24D,San Francisco,CA,94105,2998000,3,2.5,San Francisco,1956,12409,2010,3,1533,1837,Active,,,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-24D/home/69371179,San Francisco MLS,421592418,N,Y,37.7857425,-122.3988969
MLS Listing,,Condo/Co-op,60 Ora Way Unit H308,San Francisco,CA,94131,446673,2,1.0,San Francisco,913,6813,1975,3,489,727,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/60-Ora-Way-94131/unit-H308/home/1355015,San Francisco MLS,421588505,N,Y,37.7410286,-122.4380095
MLS Listing,,Single Family Residential,5705 Diamond Heights Blvd,San Francisco,CA,94131,2795000,4,3.0,San Francisco,2507,3219,1968,3,1115,,Active,September-12-2021 12:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/5705-Diamond-Heights-Blvd-94131/home/1380894,San Francisco MLS,421592416,N,Y,37.7384617,-122.4397569
MLS Listing,,Multi-Family (2-4 Unit),10 Reno Pl,San Francisco,CA,94133,6995000,7,8.0,San Francisco,,1629,,3,,,Active,,,http://www.redfin.com/CA/San-Francisco/10-Reno-Pl-94133/unit-5/home/1187588,San Francisco MLS,421590872,N,Y,37.7998628,-122.4054505
MLS Listing,,Single Family Residential,101 Upper Terrace Way,San Francisco,CA,94117,5285000,4,4.0,San Francisco,3160,3898,1947,3,1672,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/101-Upper-Ter-94117/home/670208,San Francisco MLS,421585962,N,Y,37.7650786,-122.4435169
MLS Listing,,Multi-Family (2-4 Unit),528 - 530A Noe St,San Francisco,CA,94114,3400000,4,2.0,San Francisco,2500,3171,1900,3,1360,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/528-Noe-St-94114/home/1352258,San Francisco MLS,421589570,N,Y,37.7603997,-122.4330914
MLS Listing,,Condo/Co-op,200 Brannan St #434,San Francisco,CA,94107,3395000,2,3.0,San Francisco,1831,,2004,3,1854,941,Active,,,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-434/home/1870703,San Francisco MLS,421592400,N,Y,37.7838833,-122.3906104
MLS Listing,,Condo/Co-op,1150 Sacramento St #303,San Francisco,CA,94108,3295000,2,2.0,San Francisco,1868,14843,1989,3,1764,2627,Active,,,http://www.redfin.com/CA/San-Francisco/1150-Sacramento-St-94108/unit-303/home/546735,San Francisco MLS,421592184,N,Y,37.7929469,-122.4118142
MLS Listing,,Single Family Residential,2815 Pacific Ave,San Francisco,CA,94115,10500000,5,5.5,San Francisco,5000,4350,1926,3,2100,,Active,,,http://www.redfin.com/CA/San-Francisco/2815-Pacific-Ave-94115/home/1716537,San Francisco MLS,421592000,N,Y,37.792283,-122.4416401
MLS Listing,,Condo/Co-op,338 Potrero Ave #506,San Francisco,CA,94103,695000,1,1.0,San Francisco,659,11250,2016,3,1055,634,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/338-Potrero-Ave-94103/unit-506/home/144063904,San Francisco MLS,421592068,N,Y,37.7651398,-122.4077664
MLS Listing,,Condo/Co-op,301 Mission St Unit 9D,San Francisco,CA,94105,750000,1,1.0,San Francisco,678,,2009,3,1106,1535,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-9D/home/40142356,San Francisco MLS,421591864,N,Y,37.7903824,-122.3961531
MLS Listing,,Single Family Residential,21 Westwood Dr,San Francisco,CA,94112,1925000,4,4.0,San Francisco,2648,3558,1920,3,727,12,Active,September-12-2021 03:00 PM,September-12-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/21-Westwood-Dr-94112/home/698494,San Francisco MLS,421589855,N,Y,37.7257158,-122.4589093
MLS Listing,,Single Family Residential,4745 18th St,San Francisco,CA,94114,1895000,2,2.0,San Francisco,1600,2822,1887,3,1184,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/4745-18th-St-94114/home/1813652,San Francisco MLS,421590920,N,Y,37.7597489,-122.4439638
